4.599578613281250000e+03,3.154352903366088867e-01
4.600024414062500000e+03,3.155311644077301025e-01
4.600470703125000000e+03,3.156256079673767090e-01
4.600916992187500000e+03,3.157185912132263184e-01
4.601363281250000000e+03,3.158100843429565430e-01
4.601809570312500000e+03,3.159000873565673828e-01
4.602256347656250000e+03,3.159886002540588379e-01
4.602702636718750000e+03,3.160756230354309082e-01
4.603148925781250000e+03,3.161611258983612061e-01
4.603595703125000000e+03,3.162451386451721191e-01
4.604041992187500000e+03,3.163276016712188721e-01
4.604488769531250000e+03,3.164085447788238525e-01
4.604935546875000000e+03,3.164878785610198975e-01
4.605382324218750000e+03,3.165656626224517822e-01
4.605829101562500000e+03,3.166418969631195068e-01
4.606275878906250000e+03,3.167165219783782959e-01
4.606722656250000000e+03,3.167895972728729248e-01
4.607169433593750000e+03,3.168610632419586182e-01
4.607616210937500000e+03,3.169308900833129883e-01
4.608062988281250000e+03,3.169990777969360352e-01
4.608510253906250000e+03,3.170656859874725342e-01
4.608957031250000000e+03,3.171306252479553223e-01
4.609404296875000000e+03,3.171939551830291748e-01
4.609851562500000000e+03,3.172556161880493164e-01
4.610298828125000000e+03,3.173156082630157471e-01
4.610746093750000000e+03,3.173739314079284668e-01
4.611193359375000000e+03,3.174305558204650879e-01
4.611640625000000000e+03,3.174854815006256104e-01
4.612087890625000000e+03,3.175387680530548096e-01
4.612535156250000000e+03,3.175903558731079102e-01
4.612982421875000000e+03,3.176401555538177490e-01
4.613430175781250000e+03,3.176882863044738770e-01
4.613877441406250000e+03,3.177346885204315186e-01
4.614325195312500000e+03,3.177793323993682861e-01
4.614772949218750000e+03,3.178222179412841797e-01
4.615220214843750000e+03,3.178634047508239746e-01
4.615667968750000000e+03,3.179028332233428955e-01
4.616115722656250000e+03,3.179404437541961670e-01
4.616563476562500000e+03,3.179763555526733398e-01
4.617011230468750000e+03,3.180104196071624756e-01
4.617459472656250000e+03,3.180427253246307373e-01
4.617907226562500000e+03,3.180732131004333496e-01
4.618354980468750000e+03,3.181019723415374756e-01
4.618803222656250000e+03,3.181288540363311768e-01
