wavelength,transition,gf,E2_cm-1,E2_J
5197.577,G,0.00792,45314.801,9.0015397e-19
5234.625,G,0.0088,45104.879,8.9598399e-19
5276.002,G,0.01148,44778.799,8.8950658e-19
5316.615,G,0.0117,44232.512,8.786548899999999e-19
5316.784,G,0.00123,44784.761,8.896250099999999e-19
5325.553,G,0.000602,44753.799,8.8900997e-19
