wavelength,rel_int
4146.6,0.3
4204.5,0.2
4244.0,0.6
4276.8,0.32
4319.6,0.4
4358.4,0.4
4403.0,0.3
4440.8,0.5
4452.1,0.8
4457.9,0.4
4472.9,1.4
4491.4,1.6
4657.0,0.6
4664.4,0.2
4670.2,0.28
4731.4,1.0
4763.8,0.3
4780.6,0.4
4993.3,0.2
5072.4,0.2
5100.6,0.3
5120.3,0.2
5132.7,0.4
5136.8,0.3
5146.1,0.2
5171.6,0.2
5505.2,0.4
