wavelength,transition,gf,E2_cm-1,E2_J
4923.927,S,0.0275,43620.957,8.6650668e-19
5018.44,S,0.0398,43238.586,8.5891109e-19
5169.033,S,0.0342,42658.224,8.4738251e-19
5284.109,S,0.000756,42237.033,8.3901578e-19
